智基创投股份有限公司,世纪互联,IT,IT 服务,,北京>朝阳区,陈友忠,2/1/08,VC-Series B,650,万美元
智基创投股份有限公司,兴业太阳能,能源及矿业,清洁能源,太阳能,广东>珠海市,史煜/,7/5/07,VC-Series B,800,万美元
智基创投股份有限公司,兴业太阳能,能源及矿业,清洁能源,太阳能,广东>珠海市,史煜/,3/21/08,VC-Series C,1852,万美元
智基创投股份有限公司,华众禾晨,文化传媒,户外媒体,,,史煜/,3/11/09,VC-Series A,2100,万美元
智基创投股份有限公司,睿稚集团,教育及人力资源,教育培训,,,卓德钦/,1/1/08,VC-Series B,800,万美元
智基创投股份有限公司,友播,互联网,互联网其它,,,,9/1/07,VC-Series A,100,万美元
智基创投股份有限公司,火马微电子,IT,半导体芯片,,,,10/1/03,VC-Series A,100,万美元
智基创投股份有限公司,优创科技,IT,软件产业,应用软件,广东>深圳市,,8/1/02,VC-Series A,100,万美元
智基创投股份有限公司,大地幼教,教育及人力资源,教育培训,,,卓德钦,4/27/09,VC-Series A,500,万美元
智基创投股份有限公司,喜来公社,连锁经营,餐饮业,,,卓德钦/,6/30/09,VC-Series A,300,万美元
智基创投股份有限公司,惠德时代,能源及矿业,环保节能,,,史煜/,7/3/09,VC-Series B,300,万美元
智基创投股份有限公司,荣港工贸,食品饮料,食品,,,林霆,4/1/10,VC-Series A,8000,万元
智基创投股份有限公司,电视豆,文化传媒,影视音乐,,,,12/1/06,VC-Series B,150,万美元
智基创投股份有限公司,高触传媒,文化传媒,户外媒体,,,,1/1/08,VC-Series A,5000,万元
智基创投股份有限公司,沃特玛,能源及矿业,电池与储能技术,,广东>深圳市,,10/1/10,VC-Series A,450,万美元
智基创投股份有限公司,凌志环保,能源及矿业,环保节能,污染监测与治理,江苏>无锡市,,10/1/10,VC-Series A,640,万美元
智基创投股份有限公司,光宇照明,制造业,机械设备,,山西>临汾市,,10/1/10,VC-Series A,680,万美元
智基创投股份有限公司,世纪互联,IT,IT 服务,,北京>朝阳区,陈友忠,2/1/11,VC-Series E,3500,万美元
智基创投股份有限公司,绿科生物,食品饮料,食品,,广东>深圳市,,12/1/09,VC-Series A,1000,万元
智基创投股份有限公司,凌志环保,能源及矿业,环保节能,污染监测与治理,江苏>无锡市,史煜,4/1/11,VC-Series B,870,万美元
智基创投股份有限公司,凌志环保,能源及矿业,环保节能,污染监测与治理,江苏>无锡市,史煜,4/1/11,VC-Series B,870,万美元
智基创投股份有限公司,蓝信科技,制造业,机械设备,,河南>郑州市,史煜,6/1/11,VC-Series A,510,万美元
智基创投股份有限公司,北科昊月,教育及人力资源,教育培训,,北京>昌平区,史煜,7/1/11,PE-Growth,5880,万美元
智基创投股份有限公司,速位互动,IT,硬件产业,,,卢宏镒,8/1/11,VC-Series B,1000,万美元
智基创投股份有限公司,风网100TV,电信及增值,移动互联网,移动互联网其他,北京>朝阳区,陈友忠,8/1/11,VC-Series C,900,万美元
智基创投股份有限公司,奇尔半导体,IT,光电科技,,,,1/1/08,VC-Series A,330,万美元
智基创投股份有限公司,现代石油,化学工业,石油化工,,重庆>九龙坡区,刘琦开,12/1/11,VC-Series A,500,万美元
智基创投股份有限公司,奕方农业科技,农林牧渔,种植及加工,,上海>松江区,,12/1/09,VC-Series A,2500,万元
智基创投股份有限公司,奕方农业科技,农林牧渔,种植及加工,,上海>松江区,,5/24/10,VC-Series B,800,万元
智基创投股份有限公司,速位互动,IT,硬件产业,,,卢宏镒,3/8/12,VC-Series C,100,万美元
智基创投股份有限公司,速位互动,IT,硬件产业,,,卢宏镒,6/15/12,VC-Series D,400,万美元
智基创投股份有限公司,速位互动,IT,硬件产业,,,卢宏镒,8/31/12,VC-Series E,38,万美元
智基创投股份有限公司,宏华石油设备,制造业,机械设备,,四川>德阳市,,11/29/06,VC-Series A,3000,万美元
智基创投股份有限公司,台均科技,制造业,制造业其他,,广东>宝安区,陈友忠/史煜,9/1/12,VC-Series C,2100,万元
智基创投股份有限公司,集友艺术框业,制造业,制造业其他,,福建>莆田市,陈友忠/史煜,9/1/12,VC-Series B,1400,万元
智基创投股份有限公司,重庆园林建筑,建筑建材,建筑建材其他,,重庆>九龙坡区,陈友忠/史煜,11/1/12,VC-Series A,1500,万元
智基创投股份有限公司,91无线,电信及增值,移动互联网,手机游戏,福建>福州市,,12/9/11,VC-Series C,2000,万美元
智基创投股份有限公司,山西襄汾有色金属,能源及矿业,能源及矿业其他,,山西>太原市,,8/30/07,PE-Growth,2600,万美元
智基创投股份有限公司,现代石油,化学工业,石油化工,,重庆>九龙坡区,,8/1/13,VC-Series B,1300,万元
智基创投股份有限公司,易宠科技,互联网,电子商务,,重庆>渝中区,,6/1/13,VC-Series A,1500,万元
智基创投股份有限公司,金威食品,食品饮料,食品饮料其他,,重庆>九龙坡区,,1/1/13,VC-Series A,1500,万元
凯鹏华盈中国基金,批批吉服饰,互联网,电子商务,,上海>黄浦区,汝林琪/吴运龙/,4/1/07,VC-Series B,1500,万美元
凯鹏华盈中国基金,启明星辰,IT,IT 服务,,北京>海淀区,汝林琪/周炜,2/5/08,VC-Series A,1312.5,万美元
凯鹏华盈中国基金,晶能光电,IT,硬件产业,,江西>南昌市,周志雄/陶冶/,6/12/07,VC-Series B,4500,万美元
凯鹏华盈中国基金,高德软件,IT,导航电子地图,,北京>海淀区,汝林琪,10/12/06,VC-Series A,4000,万美元
凯鹏华盈中国基金,华迅微电子,IT,半导体芯片,,陕西>西安市,钟晓林/,10/1/07,VC-Series A,1000,万美元
凯鹏华盈中国基金,九钻珠宝,互联网,电子商务,,上海>徐汇区,钟晓林/,1/8/08,VC-Series B,1000,万美元
凯鹏华盈中国基金,播思通讯,电信及增值,移动互联网,移动互联网其他,,陶冶/,3/3/08,VC-Series A,700,万美元
凯鹏华盈中国基金,国韵生物,能源及矿业,环保节能,污染监测与治理,天津>滨海新区,汝林琪/周炜,3/5/08,VC-Series A,2057,万美元
凯鹏华盈中国基金,汇众益智,教育,教育,其他教育,北京>海淀区,汝林琪/钟晓林/周炜/,3/12/08,VC-Series A,1000,万美元
凯鹏华盈中国基金,宇星科技,能源及矿业,环保节能,污染监测与治理,广东>南山区,钟晓林/,12/1/07,VC-Series A,400,万美元
凯鹏华盈中国基金,江西天人,化学工业,农药与化肥,,江西>吉安市,钟晓林/,6/11/08,PE-Growth,3000,万美元
凯鹏华盈中国基金,新传宽频,互联网,网络视频,,,徐传陞/,6/16/08,VC-Series A,1100,万美元
凯鹏华盈中国基金,维络城,电信及增值,移动互联网,无线广告,上海>普陀区,汝林琪/,3/31/07,VC-Series A,1000,万美元
凯鹏华盈中国基金,奇瑞汽车,汽车行业,汽车整车,,安徽>芜湖市,汝林琪/,10/1/07,PE-Growth,25000,万元
凯鹏华盈中国基金,凯瑞生化,医疗健康,生物技术,,浙江>嘉兴市,周炜/,1/14/09,VC-Series B,1300,万美元
凯鹏华盈中国基金,宇星科技,能源及矿业,环保节能,污染监测与治理,广东>南山区,钟晓林/,11/1/08,VC-Series B,1200,万美元
凯鹏华盈中国基金,金斯瑞,医疗健康,生物技术,,江苏>南京市,钟晓林/李怡平,10/1/09,VC-Series A,1800,万美元
凯鹏华盈中国基金,唐颂互动,互联网,网络游戏,,,钟晓林/,7/31/08,VC-Series B,1600,万美元
凯鹏华盈中国基金,同方能源,能源及矿业,环保节能,,,周志雄/,2/1/07,VC-Series A,500,万美元
凯鹏华盈中国基金,恺英网络,互联网,网络游戏,,上海>浦东新区,赵晓蓓/靳问,9/1/09,VC-Series A,200,万美元
凯鹏华盈中国基金,敦煌网,互联网,电子商务,,,汝林琪,3/11/10,VC-Series C,20000,万元
凯鹏华盈中国基金,瑞尔齿科,科学研究、技术服务和地质勘查业,科技交流和推广服务业,技术推广服务,北京>朝阳区,周炜,5/25/10,VC-Series A,2000,万美元
凯鹏华盈中国基金,维络城,电信及增值,移动互联网,无线广告,上海>普陀区,汝林琪,5/6/10,VC-Series C,1020,万美元
凯鹏华盈中国基金,满座网,互联网,电子商务,,北京>东城区,周炜/马征,8/9/10,VC-Series A,1000,万美元
凯鹏华盈中国基金,中天嘉华理财,租赁和商务服务业,商务服务业,咨询与调查,北京>朝阳区,,1/1/10,VC-Series A,400,万美元
凯鹏华盈中国基金,国韵生物,能源及矿业,环保节能,污染监测与治理,天津>滨海新区,汝林琪/周炜,12/1/10,VC-Series B,400,万美元
凯鹏华盈中国基金,恺英网络,互联网,网络游戏,,上海>浦东新区,汝林琪/赵晓蓓/靳问,2/15/11,VC-Series B,1500,万美元
凯鹏华盈中国基金,出口易,交通运输,物流,,广东>广州市,汝林琪,2/1/11,VC-Series A,400,万美元
凯鹏华盈中国基金,走秀网,互联网,电子商务,,广东>深圳市,周炜,3/24/11,VC-Series A,2000,万美元
凯鹏华盈中国基金,满座网,互联网,电子商务,,北京>东城区,周炜/马征,6/28/11,VC-Series B,5000,万美元
凯鹏华盈中国基金,五分钟,互联网,网络游戏,,上海>杨浦区,,1/1/10,VC-Series B,300,万美元
凯鹏华盈中国基金,走秀网,互联网,电子商务,,广东>深圳市,周炜,8/17/11,VC-Series B,10000,万美元
凯鹏华盈中国基金,亿动广告传媒,电信及增值,移动互联网,无线广告,上海>长宁区,钟晓林,6/10/10,VC-Series D,1000,万美元
凯鹏华盈中国基金,涂鸦移动,电信及增值,移动互联网,手机游戏,北京>海淀区,周炜,7/1/11,VC-Series B,1000,万美元
凯鹏华盈中国基金,瑞尔齿科,科学研究、技术服务和地质勘查业,科技交流和推广服务业,技术推广服务,北京>朝阳区,,8/29/11,VC-Series B,2000,万美元
凯鹏华盈中国基金,鲜果网,互联网,互联网其它,,北京>海淀区,周炜,11/1/11,VC-Series B,800,万美元
凯鹏华盈中国基金,畅翔网,互联网,行业网站,,浙江>杭州市,,7/2/08,VC-Series A,26976,万元
凯鹏华盈中国基金,五指山集团,农林牧渔,种植及加工,,海南>海口市,,3/1/10,PE-Growth,3000,万美元
凯鹏华盈中国基金,秒针系统,互联网,网络广告,,北京>朝阳区,周炜,10/24/11,VC-Series B,2000,万美元
凯鹏华盈中国基金,地产快机,电信及增值,移动互联网,移动互联网其他,北京>朝阳区,,8/2/11,VC-Series A,500,万美元
凯鹏华盈中国基金,赛诺水务,能源及矿业,环保节能,污染监测与治理,北京>海淀区,汝林琪,11/1/10,VC-Series A,700,万美元
凯鹏华盈中国基金,宜信,金融,金融其他,,北京>朝阳区,汝林琪,5/3/10,VC-Series A,500,万美元
凯鹏华盈中国基金,亚创林业,化学工业,化学工业其他,,海南>海口市,,3/1/10,VC-Series B,3000,万美元
凯鹏华盈中国基金,多利农业,农林牧渔,种植及加工,,上海>浦东新区,,9/1/11,VC-Series B,18000,万元
凯鹏华盈中国基金,花瓣网,互联网,网络社区,,浙江>杭州市,周炜,12/21/11,VC-Series A,500,万美元
凯鹏华盈中国基金,康圣环球,医疗健康,医疗服务,,北京>海淀区,黄瑞晋,3/6/12,VC-Series C,2000,万美元
凯鹏华盈中国基金,宜信,金融,金融其他,,北京>朝阳区,,5/1/11,VC-Series B,3000,万美元
