965,12758,"医疗器械,养老医疗器械,护理医疗器械,设备耗材",1,1,0,0,5/7/15 3:05,99,99,99,84,99,99,9
966,12705,数字营销,1,1,0,0,5/7/15 3:05,99,99,99,84,99,99,9
967,2244,"医疗器械,智能控制器,智能控制器设备制造,智能控制器设备",1,1,0,0,5/7/15 3:05,99,99,99,84,99,99,9
968,12580,"医疗,医疗检测,超声波,生化诊断,移动医疗",1,1,0,0,5/7/15 3:05,99,99,99,84,99,99,9
969,12498,"在线医疗,可穿戴设备",1,1,0,0,5/7/15 3:05,99,99,99,84,99,99,9
970,2587,"微电技术,微电声",1,1,0,0,5/7/15 3:05,99,99,99,84,99,99,9
971,1920,"锂电池,锂电池产业链",1,1,0,0,5/7/15 3:05,99,99,99,84,99,99,9
972,2113,"流量入口平台,高利润软件,软件开发,TMT,软件外包",1,1,0,0,5/7/15 3:05,99,99,99,84,99,99,9
973,13092,智能家居,1,1,0,0,5/7/15 3:05,99,99,99,84,99,99,9
974,2559,"蓝宝石加工,蓝宝石原材料",1,1,0,0,5/7/15 3:05,99,99,99,84,99,99,9
975,2242,"汽车缓速器,汽车缓速器研发,汽车缓速器制造,电涡流缓速器",1,1,0,0,5/7/15 3:05,99,99,99,84,99,99,9
976,13029,互联网,1,1,0,0,5/7/15 3:05,99,99,99,84,99,99,9
977,1543,"光电子器件,电子器件",1,1,0,0,5/7/15 3:05,99,99,99,84,99,99,9
978,12920,"风电技术,水电技术,光伏技术,太阳能技术,生物电技术,新能源,节能环保",1,1,0,0,5/7/15 3:05,99,99,99,84,99,99,9
979,2191,"办公自动化,TMT,在线营销,游戏",1,1,0,0,5/7/15 3:05,99,99,99,84,99,99,9
980,12810,"海外,服饰",1,1,0,0,5/7/15 3:05,99,99,99,84,99,99,9
981,12643,风电,1,1,0,0,5/7/15 3:05,99,99,99,84,99,99,9
982,2049,"阿胶上游产业链,驴皮",1,1,0,0,5/7/15 3:05,99,99,99,84,99,99,9
983,1684,"肿瘤医院,抗肿瘤,生物医药,医药",1,1,0,0,5/7/15 3:05,99,99,99,84,99,99,9
984,1882,"中成药,医药",1,1,0,0,5/7/15 3:05,99,99,99,84,99,99,9
985,1755,"肝病诊疗,肝病,诊疗,医药",1,1,0,0,5/7/15 3:05,99,99,99,84,99,99,9
986,574,"中药材,中药,药材,医药",1,1,0,0,5/7/15 3:05,99,99,99,84,99,99,9
987,1602,"苗药,中药材,中药,药材,医药",1,1,0,0,5/7/15 3:05,99,99,99,84,99,99,9
988,1600,"中成药,生物药,化学药,中药,药材,医药",1,1,0,0,5/7/15 3:05,99,99,99,84,99,99,9
