化工,化学工业,100,100
污水处理,污水处理技术,100,90
微生物污水处理,微生物污水处理技术,100,90
化工环保,绿色化工,100,100
化工环保类技术,绿色化工,80,100
涂料,化工涂料,100,80
新材料,新型材料,100,100
清洁化工技术,绿色化工技术,100,100
绿色化工,绿色化工技术,100,80
PCMX,防腐剂,70,100
化工材料,化工原料,100,70
化工材料,化学材料,100,100
化学材料,化学原料,70,100
TCC,抗菌剂,70,100
消毒液,消毒剂,70,100
抗菌剂,化工材料,70,100
防腐剂,化工材料,70,100
建筑施工,建筑装饰工程,100,70
医疗设施,医疗净化工程,100,70
景观,景观园林,100,70
景观,古建筑,100,70
景观园林,园林古建,80,80
园林古建筑,园林古建,100,100
储能技术,锂电池,100,70
储能设备,储能技术,70,100
林业,林地,100,80
农业,农场,100,70
中药,中药原料,100,70
中药原料,中药原材料,100,100
中药原料,中药种植,100,70
农药,生物农药,100,70
生物农药,生物技术,70,100
农业,化肥,100,70
农业,土壤修复,100,70
土壤治理,土壤修复,100,80
玻璃,光电玻璃,100,70
光电玻璃,超薄光电玻璃,100,70
CA卡,移动电视CA解密卡,100,100
移动电视终端设备,移动电视CA解密卡,100,80
反光膜,车牌反光膜,100,70
反光膜,广告反光膜,100,70
特种管件,高压临氢管件,100,70
特种管件,核级管件,100,70
特种管件,碳素钢管,100,70
工程机械,机械设备,100,80
机械设备,自动化设备,100,80
自动化设备,数控机床,100,80
自动化设备,自动控制设备,100,100
自动化控制,自动控制设备,100,100
实验设备,工业实验设备,100,80
实验设备,机械设备,100,80
机械设备,工业设备,90,100
