龙杰智能卡,HKGEM,香港创业板,08210,HKGEM:08210,,,,龙杰智能卡控股有限公司,Advanced Card Systems Holdings Limited,IT,硬件产业,,制造业,电子,电子元器件制造业,电子器件制造业,1/1/95,http://www.acs.com.hk,,香港九龙湾宏开道8号其士商业中心20楼2010至2013室,"龙杰智能卡有限公司（08210.HK）创立于1995年，是全球三大之一、亚太地区第一大的连机智能卡读写器供应商及Frost & Sulliva颁发的""智能卡读写器产品质量领袖奖""的获奖者。ACS致力于开发一系列优质的智能卡读写器、智能卡及其相关产品，产品远销至全球100多个国家。",
先进半导体,SEHK,港交所,03355,SEHK:03355,,,,上海先进半导体制造股份有限公司,"Shanghai Advanced Semiconductor Manufacturing Co., Ltd.",IT,半导体芯片,,制造业,电子,电子元器件制造业,电子器件制造业,10/12/88,http://www.asmcs.com,上海>徐汇区,上海市虹漕路385号,"上海先进半导体（3355.HK）为一家专门模拟芯片代工厂，主要专门制造仿真半导体及双极型内容较高的混合讯号半导体。公司的客户包括部分全球领先的集成器件制造商及无生产线半导体公司。上海先进半导体生产的标准和专用半导体，由公司客户设计，产品用于各类终端市场应用方案，包括计算机、通讯及电子消费品。公司为客户提供种类广泛的加工技术，包括： 模拟半导体的双极型、BiCMOS 及 HVMOS 加工技术及 用于制造智能身份证的非挥发性存储内存技术。 <br/> <br/>上海先进半导体在中国上海经营两间芯片制造厂，一间制造5寸及6寸芯片，另一间则制造8寸芯片。截止2005年12月31日，公司每月的产能约为28,000件5寸芯片、51,000件6寸芯片及12,000件8寸芯片。 ",
AEON CREDIT,SEHK,港交所,00900,SEHK:00900,,,,Aeon信贷财务(亚洲)有限公司,AEON Credit Service (Asia) Company Limited,金融,金融服务,,金融、保险业,金融信托业,,,2/1/90,http://www.aeon.com.hk,中国香港,香港铜锣湾告士打道280号世界贸易中心37楼,Aeon信贷财务（亚洲）有限公司（00900.HK）主要业务为提供消费信贷融资服务，包括签发信用卡、提供私人贷款融资及提供汽车、家品及其他消费品之租购融资及保险顾问及代理业务。,
永旺,SEHK,港交所,00984,SEHK:00984,,,,永旺(香港)百货有限公司,"Aeon Stores (Hong Kong) Co., Limited",连锁经营,百货,,批发和零售贸易,零售业,日用百货零售业,,9/3/85,http://www.jusco.com.hk,中国香港,香港鲗鱼涌英皇道738号乐基中心3楼,永旺（香港）百货有限公司（00984.HK）主要从事经营综合购物百货公司。,
雅居乐地产,SEHK,港交所,03383,SEHK:03383,,,,雅居乐地产控股有限公司,Agile Property Holdings Limited,房地产,房地产开发,,房地产业,房地产开发与经营业,,,4/12/85,http://www.agile.com.cn,广东,广东省中山市三乡镇金涌大道雅居乐酒店,雅居乐地产控股有限公司（3383.HK）2005年7月14日注册于开曼群岛，公司控股中山市雅居乐物业管理服务有限公司、广州雅居乐物业管理服务有限公司、广州市花都雅居乐物业管理服务有限公司、佛山市南海区雅居乐物业管理服务有限公司、中山市时兴装饰有限公司、广州雅居乐酒店和佛山雅居乐酒店，并于2005年12月15日在港交所上市。<br/><br/>雅居乐地产控股有限公司以房地产开发、经营为主，广泛涉足物业服务、装修服务等多个领域，是被纳为恒生综合指数和恒生流通综合指数及摩根士丹利中国指数成份股的房地产企业之一。目前，集团下属房地产项目分布于中山、广州、佛山、江门、河源、惠州、上海、南京、成都、重庆、西安、沈阳、海南等全国二十多个城市，广泛供应多类型物业，包括低密度住宅、洋房、商务楼宇等，满足不同层次的客户需求。<br/><br/>中山市雅居乐物业管理服务有限公司是具有独立法人资格的国家首批一级物业管理企业。1999年通过ISO9000质量体系认证（认证机构为英国皇家BSI）。公司一直致力于为业主创造一个安全、文明、舒适、方便的生活环境。公司拥有各类物业管理人员、专业技术人员及服务人员4000余人，经营范围是雅居乐集团开发的各类物业的管理、服务与经营，主要业务涉及物业接管、业主入伙、二次装修、楼宇及配套设施设备的维修养护、小区安全管理、环境卫生、绿化保养、社区文化以及各种便民服务，公司已形成以管理片区为中心的物业服务管理模式，目前公司所管理的各类物业的总建筑面积已达655万平方米。,
农业银行,"SHSE,SEHK","上交所,港交所","601288,01288",SHSE:601288,SEHK:01288,,,中国农业银行股份有限公司,"Agricultural Bank of China Co., Ltd.",金融,银行,,金融、保险业,银行业,其他商业银行,,5/12/79,http://www.abchina.com,北京>东城区,北京市东城区建国门内大街69号,"中国农业银行股份有限公司（601288.SH）（01288.HK）是四大国有独资商业银行之一，是中国金融体系的重要组成部分,总行设在北京。在国内，中国农业银行网点遍布城乡，资金实力雄厚，服务功能齐全，不仅为广大客户所信赖，而且与他们一道取得了长足的共同进步,已成为中国最大的银行之一。

到2004年末，中国农业银行各项资产总额40137.69亿元，各项贷款余额25900.72亿元，各项存款余额34915.49亿元，全年实现经营利润319.74亿元。

目前，中国农业银行拥有一级分行32个，直属分行5个，总行营业部1个，培训学院3个，并在新加坡、香港设立了分行，在伦敦、东京、纽约等地设立了代表处。",
鸿宝资源,SEHK,港交所,01131,SEHK:01131,,,,鸿宝资源有限公司,Agritrade Resources Limited,制造业,服装鞋帽,,制造业,纺织、服装、皮毛,纺织业,其他纺织品业,4/1/91,http://www.kwonghing.com,,香港新界葵涌葵昌路18-24号美顺工业大厦8楼C-D单位,制造及销售针织布料及色纱，并且提供漂染、定型及加工整理服务。,
亚博科技控股,HKGEM,香港创业板,08279,HKGEM:08279,,,,亚博科技控股有限公司,AGTech Holdings Limited,连锁经营,零售,,批发和零售贸易,零售业,日用百货零售业,,7/12/92,http://www.agtech.com,北京>海淀区,北京市朝阳区建国路79号华贸中心2座17层1701室,亚博科技控股有限公司（08279.HK）中国首个及唯一的虚拟体育投注系统及游戏供货商以及中国最大的体育彩票终端机/系统供货商，为中国体彩市场领先之综合博彩公司。主要从事（i）博彩技术（游戏软件、系统、硬件及终端设备）；（ii）彩票管理；及（iii）互联网及电话彩票。致力将国际最佳惯例及高新技术应用在彩票行业，覆盖彩票系统、彩票硬件、彩票/投注游戏、互联网及手机分销系统、无线网络、流媒体等多个领域，从而为中国体育彩票机构和全国数亿彩民提供专业的综合性彩票服务。,
友邦保险,SEHK,港交所,01299,SEHK:01299,,,,友邦保险控股有限公司,"AIA Insurance Holdings Co., Ltd.",金融,保险,,金融、保险业,保险业,人寿保险业,,12/31/10,http://www.aia.com.hk,中国香港,香港中环干诺道中1号友邦金融中心35楼,友邦保险控股有限公司（01299.HK）是亚洲最大的人寿保险机构之一，公司为客户和企业提供人寿保险、退休计划、意外及健康保险以及财富管理方案。友邦保险集团在中国大陆的业务范围包括上海、北京、广东、江苏、深圳等地区，作为第一家将寿险营销员制度引进国内的保险公司，友邦保险一直致力于建立一支专业的保险营销员队伍，通过多元化销售渠道，为客户提供一系列人寿保险、意外伤害保险和健康保险的产品和服务。,
中国国航,"SHSE,SEHK","上交所,港交所","601111,00753",SHSE:601111,SEHK:00753,,,中国国际航空股份有限公司,Air China Limited,交通运输,物流,,交通运输、仓储业,航空运输业,航空客货运输业,,6/12/88,http://www.airchina.com.cn,北京>顺义区,北京市顺义区天竺空港工业区A区天柱路28号楼蓝天大厦9层,"中国国际航空股份有限公司（601111.SH）（0753.HK）2004年9月30日注册于中国，公司控股北京飞机维修工程有限公司（www.ameco.com.cn）、中国国际货运航空有限公司、北京航空食品公司，参股深圳航空公司、国泰航空公司，2004年12月15日在港交所上市，2006年8月18日在上交所上市。

中国国际航空股份有限公司是中国唯一载国旗飞行的航空公司，在2007年12月成为星空联盟成员，同时又是北京2008年奥运会合作伙伴，具有国内航空公司第一的品牌价值（世界品牌实验室2007年评测为235.23亿元）。截至2008年3月底，中国国航拥有以波音、空客为主的各型飞机224架，运营覆盖28个国家和地区的243条航线（其中国际航线69条、地区航线6条、国内航线168条），每周为旅客提供超过6000个航班、100万个座位。通过中国国航以北京为枢纽的全球航线网络，乘客可以到达81个国内目的地，42个国际及地区目的地。中国国航在全球范围内与二十家著名航空公司建立了合作伙伴关系。国航在国内外设有85家营业部、157个销售网点、27000多个销售代理人、2000多家协议大客户，建立了27个海外直销网站，并在北京、武汉、成都、深圳、大连、广州、上海、青岛、宁波等36个城市开通了网上值机，可以为中外旅客提供直飞及转机服务。

中国国航下设工程技术分公司，下辖成都、重庆、杭州、天津、呼和浩特、上海、贵阳、7个维修基地和4家关联企业，拥有79个国内维修站点和45个国际维修站点，形成了辐射国内外的维修网络。国航地面服务部现有员工5700余人，拥有各种地面服务设备、特种车辆超过3500余台，资产超过3.2亿元人民币，在首都机场为35家外国航空公司，3家国内航空集团和航空公司提供了优质的地面服务，占首都机场地面服务业务份额的55%，是中国民航规模最大、保障能力最强的航空地面服务机构。",
味千(中国),SEHK,港交所,00538,SEHK:00538,,,,味千(中国)控股有限公司,Ajisen (China) Holdings Limited,连锁经营,餐饮业,,社会服务业,餐饮业,,,9/12/96,http://www.ajisen.com.cn,上海>黄浦区,上海市卢湾区淮海中路98号金钟广场31层,"味千（中国）控股有限公司（00538.HK）是中国快速休闲餐厅最大的连锁经营商之一，日本“味千拉面”连锁店的中国与香港总代理，业务覆盖中国、香港地区和澳门地区。味千中国 2007年3月30日在香港联交所主板挂牌，成为首家在香港上市的以内地为基地的快速休闲餐厅连锁经营商。

截至2010年3月底，味千中国的快速休闲连锁餐厅网络遍布中国主要城市的商业地段，在香港、深圳、广州、上海、福州、大连、杭州、南京等地区设有420家分店。",
安捷利实业,"HKGEM,SEHK","香港创业板,港交所","08298,01639",HKGEM:08298,SEHK:01639,,,安捷利实业有限公司,AKM Industrial Company Limited,IT,硬件产业,,信息技术业,计算机及相关设备制造业,电子计算机制造业,,12/12/93,N/A,中国香港,广东省广州市南沙区黄阁镇蕉门工业区银利工业大厦,"安捷利实业有限公司（8298.HK）1993年12月9日注册于香港，公司控股安捷利（番禹）电子实业有限公司、安捷利（苏州）柔性电路板有限公司和深圳思码特电子有限公司（www.smart.kudo.cn），并于2004年8月18日在港交所创业板上市，2014年6月18日转板到港交所主板，股票代码：01639.HK。

安捷利实业有限公司专业从事软性电路板（简称FPC）的设计、制造、销售及软性电路板的SMT装配服务，产品广泛销往美国、日本、韩国及大中华地区。安捷利公司致力于提供FPC和FPC组件产品和服务，已先后开发出精细线路板、多层线路板与软硬结合板等新产品。安捷利公司的主要产品有单面、双面、多层FPC和刚挠结合板，以及在挠性板上进行SMT电子器件装配。公司的产品广泛应用于移动电话、LCD液晶显示模组、照相机、PDA、笔记本电脑、硬盘、光驱、仪器仪表、医疗仪器及汽车产品等方面。深圳市思码特电子有限公司以FPC柔性电路板贴片加工为主，现有全新贴片线11条，其中中速线4条、中高速线3条、高速线4条，并设有SMT手印、手摆和手机组装线。",
ALCO HOLDINGS,SEHK,港交所,00328,SEHK:00328,,,,爱高集团有限公司,ALCO HOLDINGS LIMITED,制造业,制造业其他,,制造业,石油、化学、塑胶、塑料,塑料制造业,日用塑料杂品制造业,1/1/68,http://www.alco.com.hk,,香港鲗鱼涌英皇道1067号仁孚工业大厦11楼,设计、制造及销售消费电子产品及塑胶产品。,
亚伦国际,SEHK,港交所,00684,SEHK:00684,,,,亚伦国际集团有限公司,ALLAN INTERNATIONAL HOLDINGS LIMITED,制造业,机械设备,,制造业,机械、设备、仪表,电器机械及器材制造业,日用电器制造业,7/1/92,http://www.allan.com.hk,,香港鲗鱼涌英皇道1067号仁孚工业大厦12楼,制造及经销家庭电器产品。,
联合水泥,SEHK,港交所,01312,SEHK:01312,,,,联合水泥控股有限公司,Allied Cement Holdings Limited ,建筑建材,建筑材料,水泥,制造业,金属、非金属,非金属矿物制品业,水泥制造业,,http://www.alliedcement.com.hk,中国香港,香港湾仔告士打道138号联合鹿岛大厦22楼,联合水泥控股有限公司（01312.HK）主要经营范围为在山东省及上海市生产、销售及买卖水泥和熟料。联合水泥产品主要出售予山东、江苏、安徽各省以及上海市之客户，并主要用于项目建设包括道路、高速公路、桥梁及楼宇。,
联合集团,SEHK,港交所,00373,SEHK:00373,,,,联合集团有限公司,Allied Group Limited,金融,证券,,金融、保险业,证券、期货业,证券经纪公司,,12/15/72,http://www.alliedgroup.com.hk,中国香港,香港湾仔告士打道138号联合鹿岛大厦22楼,投资经纪及金融、私人财务、保健、物业发展及投资，企业及其他业务。,
联合地产(香港),SEHK,港交所,00056,SEHK:00056,,,,联合地产(香港)有限公司,Allied Properties (HK) Limited,金融,金融其他,,金融、保险业,其他金融业,,,7/18/60,http://www.alliedproperties.com.hk,中国香港,香港湾仔告士打道138号联合鹿岛大厦22楼,联合地产（香港）有限公司（00056.HK）主要业务为投资、经纪及金融，私人财务，保健，物业租赁，销售物业及与物业有关之投资。,
华讯,SEHK,港交所,00833,SEHK:00833,,,,华讯股份有限公司,Alltronics Holdings Limited,制造业,制造业其他,,制造业,电子,其他电子设备制造业,,7/24/03,http://www.alltronics.com.hk,中国香港,香港筲箕湾亚公岩村道5号东都中心11楼1108室,华讯股份有限公司（00833.HK）主要从事优化家居电子产品的研发、生产及销售，产品包括：洒水控制器、一氧化碳探测器、音响设备、聪明卡及阅读设备、无线电调控钟(附自动时间调节)及时钟活动组件、电池充电器及其它电子产品零件，如：电磁阀及常规性转接器及变压器。集团亦拥有专业及经验丰富团队生产精密模具及塑胶组件。,
中国铝业,"SHSE,SEHK,NYSE","上交所,港交所,纽交所","601600,02600,ACH",SHSE:601600,SEHK:02600,NYSE:ACH,,中国铝业股份有限公司,Aluminum Corporation of China Limited,能源及矿业,能源开采与加工,有色金属冶炼与加工,制造业,金属、非金属,有色金属冶炼及压延加工业,有色金属压延加工业,9/10/01,http://www.chalco.com.cn,北京>海淀区,北京市海淀区西直门北大街62号,中国铝业股份有限公司（601600.SH；02600.HK；NYSE:ACH）是由中国铝业公司、广西投资（集团）有限公司和贵州省物资开发投资公司共同以发起方式设立，并于2001年9月10日在中华人民共和国（中国）注册成立的股份有限公司。2001年12月11日、12日，中国铝业股票分别在纽约证券交易所和香港联合交易所有限公司挂牌上市。,
奥玛仕国际,SEHK,港交所,00959,SEHK:00959,,,,奥玛仕控股有限公司,Amax Holdings Limited,连锁经营,连锁经营其他,,社会服务业,娱乐服务业,,,7/10/97,http://www.amaxhldg.com,中国香港,香港九龙广东道33号中港城6座15楼03–05A室,奥玛仕控股有限公司（00959.HK）为一家上市投资公司。主要专注於大中华区之博彩业务。奧玛仕之定位为高端休闲与娱乐消费，其核心业务 主要为博彩及彩票消费有关。2010年12月前，奧玛仕之重大投资主要为澳门博彩相关业务。其中介人业务在高峰时每月转码数达港币400亿元。其后，因澳门政策及合作伙伴关系之转变而令该业务需要进行重组。,
琥珀能源,SEHK,港交所,00090,SEHK:00090,,,,琥珀能源有限公司,Amber Energy Limited,能源及矿业,能源开采与加工,,采掘业,煤炭采选业,煤炭开采业,,9/8/08,http://www.amberenergy.com.hk,浙江,浙江省杭州市余杭区崇贤镇贺家塘181-1号,琥珀能源有限公司是浙江省领先的燃气发电的清洁能源供应商。集团于2004年进入天然气发电领域，是最早进入中国内地该领域的企业之一。经过多年的稳健发展，集团电力投资项目已快速形成产业规模。三座电厂包括德能电厂、蓝天电厂和京兴电厂均位于浙江省，总装机容量达299兆瓦。,
隽泰控股,SEHK,港交所,00630,SEHK:00630,,,,隽泰控股有限公司,AMCO United Holding Limited,IT,硬件产业,,信息技术业,计算机及相关设备制造业,计算机相关设备制造业,,10/26/01,http://www.amco-united.com,中国香港,香港九龙九龙湾宏照道38号企业广场5期1座33楼3303-3304室,隽泰控股有限公司（00630.HK），原名国金资源控股有限公司主要从事环保再造及销售电脑打印及影像产品、制造及销售数据媒体产品及分销及销售数据媒体产品。,
