6,,,,,,Fatty Acids,,,,,化学工业-化工原料,,
6,,,,,,Gum And Wood Chemicals,,,,,化学工业-化工原料,,
6,,,,,,Natural Rubber,,,,,化学工业-化工原料,,
6,,,,,,Petrochemicals,,,,,化学工业-化工原料,,
5,,,,,Plastic and Synthetic Resins,,,,,,能源及矿业-能源开采与加工-新材料,,
6,,,,,,Cellulosic Manmade Fibers,,,,,能源及矿业-能源开采与加工-新材料,,
6,,,,,,Elastomers,,,,,能源及矿业-能源开采与加工-新材料,,
6,,,,,,Fabricated Rubber Products,,,,,能源及矿业-能源开采与加工-新材料,,
6,,,,,,Films,,,,,能源及矿业-能源开采与加工-新材料,,
6,,,,,,Foam Products,,,,,能源及矿业-能源开采与加工-新材料,,
7,,,,,,,Polystyrene Foam Products,,,,能源及矿业-能源开采与加工-新材料,,
7,,,,,,,Urethane And Other Foam Products,,,,能源及矿业-能源开采与加工-新材料,,
6,,,,,,Plastic Products,,,,,能源及矿业-能源开采与加工-新材料,,
7,,,,,,,Custom Compounding Of Purchased Plastics Resins,,,,能源及矿业-能源开采与加工-新材料,,
7,,,,,,,"Laminated Plastics Plate, Sheet, And Profile Shapes",,,,能源及矿业-能源开采与加工-新材料,,
7,,,,,,,"Plastics Materials, Basic Forms and Shapes",,,,能源及矿业-能源开采与加工-新材料,,
7,,,,,,,Unsupported Plastics Film And Sheet,,,,能源及矿业-能源开采与加工-新材料,,
7,,,,,,,Unsupported Plastics Profile Shapes,,,,能源及矿业-能源开采与加工-新材料,,
6,,,,,,Resins,,,,,能源及矿业-能源开采与加工-新材料,,
7,,,,,,,Epoxy Resins,,,,能源及矿业-能源开采与加工-新材料,,
6,,,,,,Synthetic Rubber,,,,,能源及矿业-能源开采与加工-新材料,,
7,,,,,,,Vulcanized Rubber,,,,能源及矿业-能源开采与加工-新材料,,
5,,,,,Polymers,,,,,,能源及矿业-能源开采与加工-新材料,,
6,,,,,,Biochemical Polymers,,,,,能源及矿业-能源开采与加工-新材料,,
6,,,,,,Organic Polymers,,,,,能源及矿业-能源开采与加工-新材料,,
6,,,,,,Silicones,,,,,能源及矿业-能源开采与加工-新材料,,
4,,,,Diversified Chemicals,,,,,,,化学工业-农药与化肥,,
4,,,,Fertilizers and Agricultural Chemicals,,,,,,,化学工业-农药与化肥,,
5,,,,,Nitrogenous Fertilizers,,,,,,化学工业-农药与化肥,,
5,,,,,Phosphatic Fertilizers,,,,,,化学工业-农药与化肥,,
4,,,,Industrial Gases,,,,,,,化学工业-化工原料,,
5,,,,,Alkalis And Chlorine,,,,,,化学工业-化工原料,,
5,,,,,Nitrogen ,,,,,,化学工业-化工原料,,
5,,,,,Oxygen,,,,,,化学工业-化工原料,,
4,,,,Specialty Chemicals,,,,,,,化学工业-化工原料,,
5,,,,,Adhesives And Sealants,,,,,,化学工业-化工原料,,
5,,,,,Aromatics,,,,,,化学工业-化工原料,,
5,,,,,Bone And Lamp Black,,,,,,化学工业-化工原料,,
6,,,,,,Carbon Black,,,,,化学工业-化工原料,,
6,,,,,,Printing Ink,,,,,化学工业-化工原料,,
5,,,,,Explosives,,,,,,化学工业-化工原料,,
5,,,,,Industrial Coatings,,,,,,化学工业-化工原料,,
5,,,,,Inorganic Dyes and Pigments,,,,,,化学工业-化工原料,,
5,,,,,Organic Dyes And Pigments,,,,,,化学工业-化工原料,,
5,,,,,"Paints, Varnishes, and Lacquers",,,,,,化学工业-化工原料,,
3,,,Construction Materials,,,,,,,,建筑建材-建筑材料,,
4,,,,Construction Materials,,,,,,,建筑建材-建筑材料,,
5,,,,,Clays,,,,,,建筑建材-建筑材料-建筑材料其他,,
6,,,,,,Clay Refractories,,,,,建筑建材-建筑材料-建筑材料其他,,
6,,,,,,Kaolin And Ball Clay,,,,,建筑建材-建筑材料-建筑材料其他,,
6,,,,,,Structural Clay Products,,,,,建筑建材-建筑材料-建筑材料其他,,
7,,,,,,,Brick and Structural Clay Tile,,,,建筑建材-建筑材料-建筑材料其他,,
7,,,,,,,Slumped Brick,,,,建筑建材-建筑材料-建筑材料其他,,
5,,,,,Concrete,,,,,,建筑建材-建筑材料-水泥,,
6,,,,,,"Cement, Hydraulic",,,,,建筑建材-建筑材料-水泥,,
6,,,,,,"Concrete Blocks, Pipes and Brick",,,,,建筑建材-建筑材料-水泥,,
6,,,,,,Dry Mixture Concrete,,,,,建筑建材-建筑材料-水泥,,
6,,,,,,Ready-Mixed Concrete,,,,,建筑建材-建筑材料-水泥,,
5,,,,,Cut Stone And Stone Products,,,,,,建筑建材-建筑材料-水泥,,
6,,,,,,Crushed And Broken Stone,,,,,建筑建材-建筑材料-水泥,,
6,,,,,,Dimension Stone,,,,,建筑建材-建筑材料-水泥,,
5,,,,,Glass,,,,,,建筑建材-建筑材料-玻璃,,
6,,,,,,Flat Glass,,,,,建筑建材-建筑材料-玻璃,,
6,,,,,,Pressed or Blown Glass Products,,,,,建筑建材-建筑材料-玻璃,,
5,,,,,Sand And Gravel,,,,,,建筑建材-建筑材料-建筑材料其他,,
6,,,,,,Construction Sand and Gravel,,,,,建筑建材-建筑材料-建筑材料其他,,
6,,,,,,Industrial Sand,,,,,建筑建材-建筑材料-建筑材料其他,,
5,,,,,Stone Materials,,,,,,建筑建材-建筑材料-建筑材料其他,,
6,,,,,,Granite,,,,,建筑建材-建筑材料-建筑材料其他,,
6,,,,,,Gypsum,,,,,建筑建材-建筑材料-建筑材料其他,,
6,,,,,,Limestone,,,,,建筑建材-建筑材料-建筑材料其他,,
6,,,,,,Marble,,,,,建筑建材-建筑材料-建筑材料其他,,
6,,,,,,Sandstone,,,,,建筑建材-建筑材料-建筑材料其他,,
6,,,,,,Slate,,,,,建筑建材-建筑材料-建筑材料其他,,
3,,,Containers and Packaging,,,,,,,,制造业-制造业其他,,
4,,,,Metal and Glass Containers,,,,,,,制造业-制造业其他,,
5,,,,,Glass Packaging,,,,,,制造业-制造业其他,,
6,,,,,,Glass Bottles,,,,,制造业-制造业其他,,
6,,,,,,Glass Containers,,,,,制造业-制造业其他,,
5,,,,,Metal Packaging,,,,,,制造业-制造业其他,,
6,,,,,,Aerosol Packaging,,,,,制造业-制造业其他,,
6,,,,,,Foil And Foil Containers,,,,,制造业-制造业其他,,
6,,,,,,Metal Boxes,,,,,制造业-制造业其他,,
6,,,,,,Metal Cans,,,,,制造业-制造业其他,,
6,,,,,,"Metal Shipping Barrels, Drums, Kegs, And Pails",,,,,制造业-制造业其他,,
5,,,,,Plastic Packaging,,,,,,制造业-制造业其他,,
6,,,,,,Plastic Bags,,,,,制造业-制造业其他,,
6,,,,,,Plastic Bottles,,,,,制造业-制造业其他,,
6,,,,,,Plastic Packaging Film And Sheet,,,,,制造业-制造业其他,,
6,,,,,,Plastic Sausage Casings,,,,,制造业-制造业其他,,
4,,,,Paper Packaging,,,,,,,制造业-造纸行业,,
5,,,,,Converted Paper And Paperboard Products,,,,,,制造业-造纸行业,,
6,,,,,,"Die-Cut Paper, Paperboard And Cardboard",,,,,制造业-造纸行业,,
7,,,,,,,Die-Cut Paper and Paperboard Products,,,,制造业-造纸行业,,
6,,,,,,"Pasted, Lined, Laminated, and Surface-Coated Paperboard",,,,,制造业-造纸行业,,
6,,,,,,Uncoated Paper And Multiwall Bags,,,,,制造业-造纸行业,,
5,,,,,Paperboard Containers And Boxes,,,,,,制造业-造纸行业,,
6,,,,,,Corrugated And Solid Fiber Boxes,,,,,制造业-造纸行业,,
6,,,,,,"Fiber Cans, Tubes And Drums",,,,,制造业-造纸行业,,
6,,,,,,Folding Paperboard Boxes,,,,,制造业-造纸行业,,
6,,,,,,Sanitary Food Containers,,,,,制造业-造纸行业,,
6,,,,,,Setup Paperboard Boxes,,,,,制造业-造纸行业,,
3,,,Metals and Mining,,,,,,,,能源及矿业-能源开采与加工,,
4,,,,Aluminum,,,,,,,能源及矿业-能源开采与加工-有色金属冶炼与加工,,
5,,,,,Aluminum Foundries and Castings,,,,,,能源及矿业-能源开采与加工-有色金属冶炼与加工,,
6,,,,,,Aluminum Die-Castings,,,,,能源及矿业-能源开采与加工-有色金属冶炼与加工,,
6,,,,,,Aluminum Foundries,,,,,能源及矿业-能源开采与加工-有色金属冶炼与加工,,
5,,,,,Aluminum Production,,,,,,能源及矿业-能源开采与加工-有色金属冶炼与加工,,
6,,,,,,Primary Production Of Aluminum,,,,,能源及矿业-能源开采与加工-有色金属冶炼与加工,,
6,,,,,,Secondary Smelting And Refining Of Aluminum,,,,,能源及矿业-能源开采与加工-有色金属冶炼与加工,,
5,,,,,"Rolling, Drawing and Extruding of Aluminum",,,,,,能源及矿业-能源开采与加工-有色金属冶炼与加工,,
