5/15/07,IPO,交通银行股份有限公司,金融,银行,,金融业,银行业,商业银行,商业银行,2007-05-15/2005-06-23,2520380,601328,上海>浦东新区,SSE[中国大陆]/,已完成,"3,311.9579500657",0.06509999999999999,"5,087,493.01085361",银河证券/中信证券/海通证券/,德勤,金杜,6/22/07
5/14/07,IPO,蓝天威力控股有限公司,制造业,制造业其他,,制造业,印刷业和记录媒介的复制,印刷,书，报，刊印刷,2007-05-14/2011-07-12,800,CPPW ,广东>深圳市,SGX-ST[新加坡]/,已完成,5.86875985768257,0.2764,"2,123.2850425769",建设银行/,摩斯伦,王律师,6/29/11
5/3/07,IPO,橡果国际公司,文化传媒,广告制作与代理,,租赁和商务服务业,商务服务业,广告业,广告业,5/3/07,12000,ATV,,NYSE[美国]/,已完成,120,0.235,"51,063.829787234",CIBC环球市场/美银美林/德意志银行/亚盛投资/,德勤,美迈斯,6/25/07
5/9/07,IPO,广东元邦集团有限公司,房地产,房地产开发,,房地产业,房地产业,房地产开发经营,房地产开发经营,5/9/07,7200,CYBP,,SGX-ST[新加坡]/,已完成,47.5900131406,0.25,"19,036.00525624",联昌国际/,均富,恒益,6/25/07
4/30/07,IPO,潍柴动力股份有限公司,制造业,机械设备,,制造业,通用设备制造业,锅炉及原动机制造,内燃机及配件制造,2007-04-30/2004-03-11,390000,338,山东>潍坊市,SZSE[中国大陆]/,已完成,512.4835742444,0.36619999999999997,"139,946.361071654",中信证券/华欧国际/,正源和信,金洋,6/25/07
4/27/07,IPO,中信银行股份有限公司,金融,银行,,金融业,银行业,商业银行,商业银行,2007-04-27/2007-04-27,2862890,998,北京>东城区,HKEx[中国香港]/,已完成,"3,649.1629434954",0.1273,"2,866,585.18734909",花旗环球/中信证券/汇丰/雷曼兄弟/中金公司/,毕马威,世达,6/25/07
4/27/07,IPO,中信银行股份有限公司,金融,银行,,金融业,银行业,商业银行,商业银行,2007-04-27/2007-04-27,1335121,601998,北京>东城区,SSE[中国大陆]/,已完成,"1,754.40210249669",0.06,"2,924,003.50416116",中金公司/,毕马威,金杜,6/25/07
4/25/07,IPO,洛阳栾川钼业集团股份有限公司,能源及矿业,能源开采与加工,能源开采,采矿业,有色金属矿采选业,稀有稀土金属矿采选,钨钼矿采选,2007-04-25/2012-10-09,736800,3993,河南>洛阳市,HKEx[中国香港]/,已完成,7368,0.22699999999999998,"3,245,814.97797356",摩根士丹利/瑞银投资/,德勤,盛德,8/26/11
4/20/07,IPO,碧桂园控股有限公司,房地产,房地产开发,,房地产业,房地产业,房地产开发经营,房地产开发经营,4/20/07,1291200,2007,,HKEx[中国香港]/,已完成,"1,645.8134034165",0.15,"1,097,208.935611",摩根士丹利/瑞银投资/,普华永道,Woo Kwan Lee & Lo,6/25/07
4/19/07,IPO,先声药业集团有限公司,医疗健康,医药行业,,制造业,医药制造业,化学药品制剂制造,化学药品制剂制造,4/19/07,22656,SCR ,江苏>南京市,NYSE[美国]/,已完成,226.56,0.25,90624,高盛/第一上海/派杰/CIBC环球市场/,毕马威,盛信	,2/25/11
4/18/07,IPO,扬子江船业(控股)有限公司,制造业,机械设备,,制造业,交通运输设备制造业,船舶及浮动装置制造,金属船舶制造,2007-04-18/2010-09-09,94400,YAZG,江苏>无锡市,SGX-ST[新加坡]/,已完成,623.9579500657,0.3,"207,985.983355233",瑞银投资/星展集团/,普华永道,伟凯,6/26/07
4/1/07,TL,圣元国际公司,食品饮料,食品,,制造业,食品制造业,焙烤食品制造,糕点，面包制造,4/1/07,0,SYUT,,NASDAQ[美国]/,已完成,0,0,0,,,,6/26/07
3/30/07,IPO,山东工友集团股份有限公司,制造业,机械设备,,制造业,专用设备制造业,化工，木材，非金属加工专用设备制造,木材加工机械制造,3/30/07,450,SYUT,山东>威海市,FWB[德国]/,已完成,6.1379763469,0.17,"3,610.57432170588",,,德恒,6/26/07
3/30/07,IPO,味千(中国)控股有限公司,连锁经营,餐饮业,,住宿和餐饮业,餐饮业,快餐服务,快餐服务,3/30/07,164100,538,上海>黄浦区,HKEx[中国香港]/,已完成,209.1681997371,0.3,"69,722.7332457",嘉诚/中金公司/三菱UFJ/大福证券/兆丰资本/第一上海/,德勤,金杜,6/26/07
5/26/05,IPO,洛阳轴研科技股份有限公司,制造业,机械设备,,制造业,通用设备制造业,轴承，齿轮，传动和驱动部件的制造,轴承制造,5/26/05,16000,2046,河南>洛阳市,SZSE[中国大陆]/,已完成,19.656019656,0.3846,"5,110.76954134165",南京证券/,北京兴华,金杜,6/26/07
3/27/07,IPO,四环医药控股集团有限公司,医疗健康,医药行业,,制造业,医药制造业,化学药品制剂制造,化学药品制剂制造,2007-03-27/2010-10-28,5160,SGD,海南>海口市,SGX-ST[新加坡]/,已完成,34.106176084,0,0,大和证券/,普华永道,恒益,6/26/07
3/21/07,IPO,深圳市中天通讯设备有限公司,电信及增值,通信设备,,制造业,通信设备，计算机及其他电子设备制造业,通信设备制造,移动通信及终端设备制造,3/21/07,"2,732.52",ZTC,广东>深圳市,AIM[英国]/,已完成,27.3252,0,0,,,,6/26/07
3/21/07,IPO,中国粮油控股有限公司,农林牧渔,种植及加工,,制造业,农副食品加工业,谷物磨制,谷物磨制,3/21/07,260000,606,,HKEx[中国香港]/,已完成,331.406044678,0.247,"134,172.487723886",高盛/中银亚洲/,安永,史密夫,6/26/07
3/20/07,IPO,银泰商业(集团)有限公司,连锁经营,百货,,批发和零售业,零售业,综合零售,百货零售,3/20/07,242550,1833,浙江>杭州市,HKEx[中国香港]/,已完成,309.227332457199,0.25,"123,690.93298288",摩根士丹利/,普华永道,瑛明,6/26/07
3/16/07,IPO,同济堂药业公司,医疗健康,医药行业,,制造业,医药制造业,中成药制造,中成药制造,3/16/07,9865,TCM,广东>深圳市,NYSE[美国]/,已完成,98.65,0.282,"34,982.2695035461",美银美林/CIBC环球市场/瑞银投资/,德勤,瑞生国际,11/8/10
3/10/07,IPO,新华悦动传媒有限公司,文化传媒,传媒出版,,文化、体育和娱乐业,新闻出版业,新闻业,新闻业,3/10/07,30000,XFML,北京>朝阳区,NASDAQ[美国]/,已完成,300,0.209,"143,540.669856459",,,,6/26/07
3/6/07,IPO,深圳市科陆电子科技股份有限公司,制造业,机械设备,,制造业,通用设备制造业,风机，衡器，包装设备等通用设备制造,风机，风扇制造,3/6/07,16500,2121,广东>深圳市,SZSE[中国大陆]/,已完成,21.6819973717999,0.25,"8,672.79894872",山西证券/,深圳鹏城,国浩,6/26/07
2/23/07,IPO,中国汇源果汁集团有限公司,食品饮料,饮料,,制造业,饮料制造业,软饮料制造,果菜汁及果菜汁饮料制造,2/23/07,240000,1886,北京>顺义区,HKEx[中国香港]/,已完成,305.9132720105,0.2883,"106,109.355536073",瑞银投资/国泰君安/,普华永道,美富,6/26/07
2/7/07,IPO,三生制药有限责任公司,医疗健康,医药行业,,制造业,医药制造业,化学药品原药制造,化学药品原药制造,2/7/07,12320,SSRX,,NASDAQ[美国]/,已完成,123,0.35850000000000004,"34,309.6234309623",CIBC环球市场/太平洋证券/,毕马威,世达,6/26/07
2/6/07,IPO,晶澳太阳能有限公司,能源及矿业,清洁能源,太阳能,制造业,电气机械及器材制造业,电池制造,电池制造,2/6/07,22500,JASO,河北>邢台市,NASDAQ[美国]/,已完成,225,0.34299999999999997,"65,597.6676384839",CIBC环球市场/派杰/雷曼兄弟/瑞信/,普华永道,世达,6/26/07
2/1/07,IPO,武夷国际药业有限公司,医疗健康,医药行业,,制造业,医药制造业,化学药品制剂制造,化学药品制剂制造,2/1/07,80100,1889,,HKEx[中国香港]/,已完成,102.098554533499,0.2709,"37,688.650621447",瑞信/瑞银投资/新鸿基金融集团/星展集团/宝来金融/,德勤,通商,6/26/07
1/31/07,TL,哈尔滨电气有限公司,制造业,机械设备,,制造业,电气机械及器材制造业,电机制造,微电机及其他电机制造,1/31/07,,HRBN ,黑龙江>哈尔滨市,NASDAQ[美国]/,已完成,0,0,0,,,,2/25/11
12/20/06,IPO,韩华新能源,能源及矿业,电池与储能技术,,制造业,电气机械及器材制造业,电池制造,电池制造,12/20/06,15000,SOLF,江苏>南通市,NASDAQ[美国]/,已完成,150,0.25,60000,摩根士丹利/,安永,谢尔曼·思特灵,8/13/10
12/19/06,IPO,富维薄膜控股有限公司,能源及矿业,能源开采与加工,新材料,制造业,化学原料及化学制品制造业,合成材料制造,其他合成材料制造,12/19/06,3105,FFHL ,,NASDAQ[美国]/,已完成,31.05,0.306,"10,147.0588235294",WR Hambrecht + Co/Maxim Group/Chardan Capital Markets/,毕马威,乐博,2/23/11
2/1/08,IPO,深圳市特尔佳科技股份有限公司,汽车行业,汽车零部件,,制造业,交通运输设备制造业,汽车制造,汽车零部件及配件制造,2/1/08,12220,2213,广东>深圳市,SZSE[中国大陆]/,已完成,14.7521160822,0.25239999999999996,"5,844.73695808241",东海证券/,信永中和,天元,6/26/07
12/15/06,IPO,上海锦江国际酒店(集团)股份有限公司,连锁经营,餐饮业,,住宿和餐饮业,住宿业,旅游饭店,旅游饭店,12/15/06,240000,2006,上海>黄浦区,HKEx[中国香港]/,已完成,2400,0.275,"872,727.272727272",瑞银投资/第一上海/星展集团/申银万国/新鸿基金融集团/,普华永道,麦坚时,6/26/07
10/7/02,IPO,深圳市元征科技股份有限公司,制造业,机械设备,,居民服务和其他服务业,其他服务业,修理与维护,汽车，摩托车维护与保养,2002-10-07/2011-03-28/2011-03-28,7920,8196,广东>深圳市,HKGEM[中国香港]/,已完成,10.2101327832925,0.25,"4,084.053113317",,,,5/18/13
8/10/05,IPO,中国医疗技术公司,制造业,机械设备,,制造业,专用设备制造业,医疗仪器设备及器械制造,其他医疗设备及器械制造,8/10/05,9600,CMED,,NASDAQ[美国]/,已完成,96,0.24239999999999998,"39,603.9603960396",瑞银投资/,,,6/27/07
12/15/06,IPO,真明丽控股有限公司,制造业,机械设备,,制造业,电气机械及器材制造业,照明器具制造,电光源制造,12/15/06,138000,1868,广东>江门市,HKEx[中国香港]/,已完成,176.834170854199,0.152,"116,338.270298815",德意志银行/工商东亚/第一上海/星展集团/辉立集团/巴黎百富勤/,德勤,海问,6/27/07
12/8/06,IPO,中国通信服务股份有限公司,电信及增值,电信运营及信息传输服务,,制造业,通信设备，计算机及其他电子设备制造业,通信设备制造,通信传输设备制造,12/8/06,284000,552,北京>东城区,HKEx[中国香港]/,已完成,363.9195979899,0.2705,"134,535.895744879",中金公司/高盛/,毕马威,西盟斯,6/27/07
8/5/05,IPO,百度在线网络技术(北京)有限公司,互联网,互联网其它,,信息传输、计算机服务和软件业,电信和其他信息传输服务业,互联网信息服务,互联网信息服务,2005-08-05/2003-06-18,10900,BIDU,北京>海淀区,NASDAQ[美国]/,已完成,109,0.125,87200,高盛/派杰/瑞信/,安永,瑞生国际,6/27/07
10/31/06,IPO,北京富基融通科技有限公司,IT,软件产业,软件产业其他,信息传输、计算机服务和软件业,软件业,其他软件服务,其他软件服务,10/31/06,680,EFUT,北京>朝阳区,NASDAQ[美国]/,已完成,6.8,0.43,"1,581.3953488372",Anderson & Strudwick/,"Hansen, Barnett & Maxwell",Campbells,10/30/09
10/27/06,IPO,中国工商银行股份有限公司,金融,银行,,金融业,银行业,商业银行,商业银行,2006-10-27/2006-10-27,4056000,601398,北京>西城区,SSE[中国大陆]/,已完成,"5,095.4773869346",0.03966,"12,847,900.6226288",中金公司/中信证券/国泰君安/申银万国/,安永,金杜,6/27/07
10/27/06,IPO,中国工商银行股份有限公司,金融,银行,,金融业,银行业,商业银行,商业银行,2006-10-27/2006-10-27,10864700,1398,北京>西城区,HKEx[中国香港]/,已完成,"13,922.1030150753",0.10800000000000001,"12,890,836.1250697",工商东亚/美银美林/中金公司/瑞信/德意志银行/,安永,史密夫,6/27/07
10/26/06,IPO,上海如家酒店管理公司,连锁经营,酒店,,住宿和餐饮业,住宿业,旅游饭店,旅游饭店,10/26/06,10902,HMIN,上海>徐汇区,NASDAQ[美国]/,已完成,109,0.2451,"44,471.6442268461",美银美林/德意志银行/瑞信/,普华永道,瑞生国际,6/27/07
1/30/08,IPO,广州达意隆包装机械股份有限公司,制造业,制造业其他,,制造业,金属制品业,集装箱及金属包装容器制造,金属包装容器制造,1/30/08,13000,2209,广东>广州市,SZSE[中国大陆]/,已完成,15.7194679563999,0.2544,"6,179.03614638364",广发证券/,正中珠江,广大,6/27/07
9/26/06,IPO,深圳迈瑞生物医疗电子股份有限公司,医疗健康,医疗设备,,制造业,专用设备制造业,医疗仪器设备及器械制造,医疗诊断，监护及治疗设备制造,9/26/06,27000,MR,广东>深圳市,NYSE[美国]/,已完成,270,0.1928,"140,041.493775933",高盛/摩根大通/瑞银投资/CIBC环球市场/派杰/第一上海/,德勤,苏利文•克伦威尔,6/27/07
9/6/06,IPO,北京新东方教育科技(集团)有限公司,教育及人力资源,教育培训,,教育,教育,其他教育,职业技能培训,9/6/06,11250,EDU ,北京>海淀区,NYSE[美国]/,已完成,112.5,0.2126,"52,916.2746942615",派杰/高盛/瑞信/,德勤,瑞生国际,9/7/11
6/27/07,IPO,展讯通信有限公司,IT,半导体芯片,,制造业,通信设备，计算机及其他电子设备制造业,电子器件制造,集成电路制造,6/27/07,12600,SPRD,上海>浦东新区,NASDAQ[美国]/,已完成,126,0.21710000000000002,"58,037.7706126209",摩根士丹利/雷曼兄弟/Needham & Company/,德勤,WSGR	,6/27/07
7/13/06,IPO,绿城中国控股有限公司,房地产,房地产开发,,房地产业,房地产业,房地产开发经营,房地产开发经营,7/13/06,234600,3900,浙江>杭州市,HKEx[中国香港]/,已完成,300.6180904522,0.25,"120,247.23618088",摩根大通/瑞银投资/,德勤,史密夫,6/27/07
6/27/06,IPO,深圳市同洲电子股份有限公司,IT,数字电视,,制造业,通信设备，计算机及其他电子设备制造业,广播电视设备制造,广播电视接收设备及器材制造,2006-06-27/2009-09-07,35200,2052,广东>深圳市,SZSE[中国大陆]/,已完成,44.2211055276,0.2532,"17,464.8915985782",广发证券/,深圳鹏城,金杜,6/27/07
6/23/06,IPO,新锐互动商业网络有限公司,IT,软件产业,软件产业其他,信息传输、计算机服务和软件业,软件业,其他软件服务,其他软件服务,6/23/06,75,GNG,,AIM[英国]/,已完成,1.3850502512,0.09570000000000001,"1,447.28343908045",,,,6/27/07
6/1/06,IPO,东方纪元有限公司,教育及人力资源,教育培训,,教育,教育,其他教育,其他未列明的教育,6/1/06,"1,164.8",5II ,,SES-SESDAQ[新加坡]/,已完成,8.54491435278583,0.2,"4,272.45717639291",丰隆银行/,毕马威,王律师,5/5/11
5/10/01,IPO,新奥能源控股有限公司,能源及矿业,能源开采与加工,,电力、燃气及水的生产和供应业,燃气生产和供应业,燃气生产和供应业,燃气生产和供应业,6/3/02,23800,2688,河北>廊坊市,HKEx[中国香港]/,已完成,30.6819646770658,0,0,,,,7/30/13
6/23/05,IPO,中国玻璃控股有限公司,建筑建材,建筑材料,玻璃,制造业,非金属矿物制品业,玻璃及玻璃制品制造,平板玻璃制造,6/23/05,19620,3300,北京>朝阳区,HKEx[中国香港]/,已完成,25.0417690417,0.25,"10,016.70761668",国泰君安/第一上海/兆丰资本/招商证券/京华山一/大和证券/东海证券/永丰金证券/,毕马威,竞天公诚,6/27/07
12/4/04,IPO,九城网络技术集团有限公司,互联网,电子商务,,批发和零售业,零售业,无店铺及其他零售,邮购及电子销售,12/4/04,10560,NINE,,NASDAQ[美国]/,已完成,106,0.2791,"37,979.2189179505",摩根大通/花旗环球/雷曼兄弟/,德勤,普衡,6/28/07
3/30/06,IPO,深圳国人通信有限公司,电信及增值,通信设备,,制造业,通信设备，计算机及其他电子设备制造业,通信设备制造,通信传输设备制造,3/30/06,11250,GRRF ,广东>深圳市,NASDAQ[美国]/,已完成,112.5,0.25,45000,派杰/贝尔斯登/WR Hambrecht + Co/,毕马威,盛德,11/16/11
12/13/05,IPO,尚德电力控股有限公司,能源及矿业,电池与储能技术,,制造业,电气机械及器材制造业,电池制造,电池制造,12/13/05,39570,STP ,江苏>无锡市,NYSE[美国]/,已完成,395.7,0.182,"217,417.582417582",摩根士丹利/瑞信/里昂证券/SG Cowen/,德勤,瑞生国际,2/25/11
12/9/04,IPO,中国无线科技有限公司,制造业,制造业其他,,制造业,通信设备，计算机及其他电子设备制造业,通信设备制造,通信传输设备制造,12/9/04,11484,2369,广东>深圳市,HKEx[中国香港]/,已完成,14.7812905724481,0.33,"4,479.1789613479",,,,6/16/11
11/21/03,IPO,北京物美商业集团股份有限公司,连锁经营,百货,,批发和零售业,零售业,综合零售,百货零售,2003-11-21/2011-06-30,54710,8277,北京>石景山区,HKGEM[中国香港]/,已完成,70.1112454654999,0.3,"23,370.4151551666",嘉诚/大福证券/星展集团/第一上海/,德勤,高特,6/28/07
11/14/05,IPO,中国永乐电器销售有限公司,连锁经营,零售,,批发和零售业,零售业,综合零售,其他综合零售,,102600,503,,HKEx[中国香港]/,已完成,131.085995085899,0.2519,"52,038.9023763001",摩根士丹利/嘉诚/,安永,富而德,6/28/07
